"","year","MFN_tariff"
"1",1995-01-01,0.392044904154814
"2",1996-01-01,0.0375329334028818
"3",1997-01-01,0.0312336629967077
"4",1998-01-01,0
"5",1999-01-01,0
"6",2000-01-01,0.977247138982759
"7",2001-01-01,1.02128909631519
"8",2002-01-01,0.912676791290915
"9",2003-01-01,0.893047893053719
"10",2004-01-01,3.96499809840239
"11",2005-01-01,4.01674936144507
"12",2006-01-01,3.97112199867771
"13",2007-01-01,4.09611762639884
"14",2008-01-01,4.21173645256664
"15",2009-01-01,4.10763361889027
"16",2010-01-01,3.37922007148829
"17",2011-01-01,3.57124113548333
"18",2012-01-01,3.2136835782194
"19",2013-01-01,3.5108142983278
"20",2014-01-01,3.57043404919893
"21",2015-01-01,3.60494731893863
"22",2016-01-01,3.42533201981098
"23",2017-01-01,3.7636506414625
"24",2018-01-01,3.45914595350384
"25",2019-01-01,3.47131435392246
